name,current_day,middle_eastern,african,american,mexican,latin_american,italian,chinese,japanese,southern_central_asian,french,eastern_europe,central_europe,caribbean,mediterranean,indian,spanish,kosher,gluten_free,wheelchair,vegan,vegetarian,pescatarian,keto,soy,dog,covid,occasion,num_people,meal,oneDollar,twoDollar,threeDollar,fourDollar,rest_id,going
Karen L.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,date,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Bhumika K.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,date,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Rita C.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,family,10.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Tanya E.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,family,7.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Rikin S.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,family,7.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Sarah B.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,family,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Sierra H.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,family,4.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Una D.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Karina C.,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,7.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Ryoga W.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,9.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Reina N.,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Nancy G.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,10.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Sonya H.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,friends,2.0,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Katie K.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,friends,4.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Liz S.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Karissa O.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,10.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Joohee K.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
L G.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,9.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Elle T.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,friends,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Melissa F.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,friends,7.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Angela S.,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,friends,2.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Abby M.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,friends,5.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Amanda K.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,6.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
S J.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,friends,4.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Miguel V.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,friends,3.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Natasha S.,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,friends,6.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
William N.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,5.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Meg M.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,friends,8.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Ellen H.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,6.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Kar M.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,friends,6.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Carmen M.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,10.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Holly L.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,friends,10.0,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Kristen R.,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,friends,3.0,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Mahogany G.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Katiana K.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Elise H.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Margo C.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Chrystal R.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Rose K.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
amanda b.,Tuesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Parisa M.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Philip T.,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Catherine A.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Alexis M.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
K R.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Professor G.,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Ben S.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Har D.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Marjorie S.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
A. B.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Jess P.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Eric V.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Tova M.,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Vegan B.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Ali H.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Michaela L.,Friday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Michael S.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Nick K.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Valentine A.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Y A.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Cameron G.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
F L.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Joseph V.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
L H.,Thursday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
ken f.,Monday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Mike W.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,lunch,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Trina T.,Wednesday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
Mo A.,Sunday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,0
Peter C.,Saturday,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,dinner,1,0,0,0,E0uiV0KHz9QLOuWGwNUCGw,1
